
Unnamed: 0,ID,Park Name,ADDRESS,City,LATITUDE,LONGITUDE,Lights,price_per_hour,created_by,created_at,image_url
20,20,Tennis Court Pondok Cabe Golf 2 2,"Kompleks Pondok Cabe Golf, Pondok Cabe Udik, Pamulang, Tangerang Selatan Blok A Kav. 7",Tangerang,-6.318917691182766,106.72305401619737,Yes,165000,augment,2025-10-22,"https://source.unsplash.com/1600x900/?tennis,court"
21,21,Playcourt Tennis Depok,"Jl. Margonda Raya, Kota Depok",Depok,-6.39,106.83,Yes,150000,import,2025-10-22,"https://source.unsplash.com/1600x900/?tennis,court"
22,22,Jakarta Tennis Academy #10,"Kebon Jeruk, Jakarta Barat No. 111",Jakarta,-6.181541316759952,106.7773089223755,Yes,190000,augment,2025-10-22,"https://source.unsplash.com/1600x900/?tennis,court"
23,23,Lapangan Tennis Griya Depok Asri (GDA) Sports,"Griya Depok Asri Blok A1, Mekarjaya, Sukmajaya, Depok Kav. 3",Depok,-6.376474963334366,106.86076851265472,No,120000,augment,2025-10-22,"https://source.unsplash.com/1600x900/?tennis,court"
24,24,Lapangan Tennis Griya Depok Asri (GDA) Court (2),"Griya Depok Asri Blok A1, Mekarjaya, Sukmajaya, Depok Kav. 9",Depok,-6.4066816844937,106.8354133113568,Yes,115000,augment,2025-10-22,"https://source.unsplash.com/1600x900/?tennis,court"
25,25,Villa Duta Sport Center Tennis,"Perumahan Villa Duta, Jl. Rena Wijaya No.9, Baranangsiang, Kota Bogor Kav. 3",Bogor,-6.589953789927391,106.80744169349312,Yes,135000,augment,2025-10-22,"https://source.unsplash.com/1600x900/?tennis,court"
26,26,Tennis Raflesia Taman Yasmin #3 #5,"Taman Yasmin, Kota Bogor Blok A Kav. 9",Bogor,-6.553521390411847,106.76368934260346,No,100000,augment,2025-10-22,"https://source.unsplash.com/1600x900/?tennis,court"
27,27,Tennis Court Pondok Cabe Golf,"Kompleks Pondok Cabe Golf, Pondok Cabe Udik, Pamulang, Tangerang Selatan",Tangerang,-6.336,106.747,Yes,180000,import,2025-10-22,"https://source.unsplash.com/1600x900/?tennis,court"
28,28,Lapangan Tennis TC7 Club,"Jl. Masjid No.12, Jatikramat, Jatiasih, Kota Bekasi Blok B",Bekasi,-6.294986028634179,106.97674161833017,No,95000,augment,2025-10-22,"https://source.unsplash.com/1600x900/?tennis,court"
29,29,Lapangan Tennis TC7,"Jl. Masjid No.12, Jatikramat, Jatiasih, Kota Bekasi",Bekasi,-6.287,106.959,No,90000,import,2025-10-22,"https://source.unsplash.com/1600x900/?tennis,court"
30,30,Lapangan Tennis TC7 Timur Tennis,"Jl. Masjid No.12, Jatikramat, Jatiasih, Kota Bekasi Blok C Kav. 7",Bekasi,-6.276970281866155,106.94642736188558,No,115000,augment,2025-10-22,"https://source.unsplash.com/1600x900/?tennis,court"
31,31,Villa Duta Sport Center #1,"Perumahan Villa Duta, Jl. Rena Wijaya No.9, Baranangsiang, Kota Bogor Blok B",Bogor,-6.608013496592988,106.81760417872384,Yes,130000,augment,2025-10-22,"https://source.unsplash.com/1600x900/?tennis,court"
32,32,Jakarta Tennis Academy Tennis,"Kebon Jeruk, Jakarta Barat Blok A",Jakarta,-6.196239616273058,106.76985657980454,Yes,255000,augment,2025-10-22,"https://source.unsplash.com/1600x900/?tennis,court"
33,33,Villa Duta Sport Center #1 Tennis,"Perumahan Villa Duta, Jl. Rena Wijaya No.9, Baranangsiang, Kota Bogor Blok B RT 3/RW 10",Bogor,-6.601722764883547,106.81162047921012,No,140000,augment,2025-10-22,"https://source.unsplash.com/1600x900/?tennis,court"
34,34,Tennis Court Pondok Cabe Golf Timur Sports,"Kompleks Pondok Cabe Golf, Pondok Cabe Udik, Pamulang, Tangerang Selatan Blok C No. 151",Tangerang,-6.321819559145343,106.75350889100528,No,150000,augment,2025-10-22,"https://source.unsplash.com/1600x900/?tennis,court"
35,35,Lapangan Tennis TC7 2,"Jl. Masjid No.12, Jatikramat, Jatiasih, Kota Bekasi Kav. 7",Bekasi,-6.28486739620997,106.96874355552492,No,90000,augment,2025-10-22,"https://source.unsplash.com/1600x900/?tennis,court"
36,36,Lapangan Tenis GBK Club,"Kompleks Gelora Bung Karno, Jl. Pintu Satu Senayan, Jakarta Pusat RT 5/RW 11",Jakarta,-6.227516178716233,106.79753165769786,No,175000,augment,2025-10-22,"https://source.unsplash.com/1600x900/?tennis,court"
37,37,Lapangan Tenis GBK Club (2),"Kompleks Gelora Bung Karno, Jl. Pintu Satu Senayan, Jakarta Pusat No. 132",Jakarta,-6.2229772147777735,106.797864800639,Yes,165000,augment,2025-10-22,"https://source.unsplash.com/1600x900/?tennis,court"
38,38,Lapangan Tennis TC7 Timur,"Jl. Masjid No.12, Jatikramat, Jatiasih, Kota Bekasi Kav. 7",Bekasi,-6.283998103457894,106.9621481176946,No,85000,augment,2025-10-22,"https://source.unsplash.com/1600x900/?tennis,court"
39,39,Villa Duta Sport Center #1 2,"Perumahan Villa Duta, Jl. Rena Wijaya No.9, Baranangsiang, Kota Bogor Blok B Blok C",Bogor,-6.590433310250951,106.82334249867522,No,155000,augment,2025-10-22,"https://source.unsplash.com/1600x900/?tennis,court"
40,40,Playcourt Tennis Depok #14,"Jl. Margonda Raya, Kota Depok No. 184",Depok,-6.380645915060922,106.8424887566285,Yes,155000,augment,2025-10-22,"https://source.unsplash.com/1600x900/?tennis,court"
41,41,Tennis Court Pondok Cabe Golf Timur Club,"Kompleks Pondok Cabe Golf, Pondok Cabe Udik, Pamulang, Tangerang Selatan RT 1/RW 12 Kav. 3",Tangerang,-6.342282082046647,106.741712575472,Yes,185000,augment,2025-10-22,"https://source.unsplash.com/1600x900/?tennis,court"
42,42,Tennis Raflesia Taman Yasmin Selatan #4,"Taman Yasmin, Kota Bogor RT 9/RW 6 Blok B",Bogor,-6.581398984492659,106.76777093613974,No,115000,augment,2025-10-22,"https://source.unsplash.com/1600x900/?tennis,court"
43,43,Lapangan Tennis Griya Depok Asri (GDA) Arena,"Griya Depok Asri Blok A1, Mekarjaya, Sukmajaya, Depok Kav. 9",Depok,-6.406055020680342,106.85727712515197,Yes,105000,augment,2025-10-22,"https://source.unsplash.com/1600x900/?tennis,court"
44,44,Jakarta Tennis Academy,"Kebon Jeruk, Jakarta Barat",Jakarta,-6.201,106.77,Yes,220000,import,2025-10-22,"https://source.unsplash.com/1600x900/?tennis,court"
45,45,Lapangan Tennis TC7 Timur Court,"Jl. Masjid No.12, Jatikramat, Jatiasih, Kota Bekasi Blok C RT 7/RW 12",Bekasi,-6.274110636577353,106.95063790599504,No,115000,augment,2025-10-22,"https://source.unsplash.com/1600x900/?tennis,court"
46,46,Lapangan Tennis Griya Depok Asri (GDA),"Griya Depok Asri Blok A1, Mekarjaya, Sukmajaya, Depok",Depok,-6.394,106.842,Yes,130000,import,2025-10-22,"https://source.unsplash.com/1600x900/?tennis,court"
47,47,Tennis Court Pondok Cabe Golf Utara Club,"Kompleks Pondok Cabe Golf, Pondok Cabe Udik, Pamulang, Tangerang Selatan Blok C Kav. 7",Tangerang,-6.356815872049003,106.75310012382748,Yes,185000,augment,2025-10-22,"https://source.unsplash.com/1600x900/?tennis,court"
48,48,Lapangan Tennis TC7 2 Sports,"Jl. Masjid No.12, Jatikramat, Jatiasih, Kota Bekasi Kav. 7 Blok C",Bekasi,-6.298784666655089,106.987619056288,No,95000,augment,2025-10-22,"https://source.unsplash.com/1600x900/?tennis,court"
49,49,Jakarta Tennis Academy Sports,"Kebon Jeruk, Jakarta Barat Blok C",Jakarta,-6.191465464816208,106.76591590714185,No,225000,augment,2025-10-22,"https://source.unsplash.com/1600x900/?tennis,court"
50,50,Lapangan Tennis TC7 Timur,"Jl. Masjid No.12, Jatikramat, Jatiasih, Kota Bekasi Blok C",Bekasi,-6.292841887217262,106.95104493151103,No,100000,augment,2025-10-22,"https://source.unsplash.com/1600x900/?tennis,court"
51,51,Lapangan Tennis Griya Depok Asri (GDA) Tennis (2),"Griya Depok Asri Blok A1, Mekarjaya, Sukmajaya, Depok No. 193",Depok,-6.383427546165546,106.85082709085486,No,135000,augment,2025-10-22,"https://source.unsplash.com/1600x900/?tennis,court"
52,52,Tennis Court Pondok Cabe Golf Timur,"Kompleks Pondok Cabe Golf, Pondok Cabe Udik, Pamulang, Tangerang Selatan Blok C",Tangerang,-6.332045814882634,106.7393386803314,Yes,165000,augment,2025-10-22,"https://source.unsplash.com/1600x900/?tennis,court"
53,53,Tennis Raflesia Taman Yasmin Tennis (2),"Taman Yasmin, Kota Bogor Kav. 3",Bogor,-6.551400008664272,106.75948537743588,No,105000,augment,2025-10-22,"https://source.unsplash.com/1600x900/?tennis,court"
54,54,Tennis Court Pondok Cabe Golf Utara,"Kompleks Pondok Cabe Golf, Pondok Cabe Udik, Pamulang, Tangerang Selatan Blok C",Tangerang,-6.336948445134117,106.74119222174464,Yes,170000,augment,2025-10-22,"https://source.unsplash.com/1600x900/?tennis,court"
55,55,Lapangan Tennis TC7 2 (2),"Jl. Masjid No.12, Jatikramat, Jatiasih, Kota Bekasi Kav. 7",Bekasi,-6.27636571573615,106.94675733060564,No,85000,augment,2025-10-22,"https://source.unsplash.com/1600x900/?tennis,court"
56,56,Cilandak Sports Center,"Jl. Karang Asri II Blok C2 No.31, Cilandak, Jakarta Selatan",Jakarta,-6.2977,106.789,Yes,150000,import,2025-10-22,https://indonesiaexpat.id/wp-content/uploads/2023/07/Cilandak-Sports-Center.jpg
57,57,Anwa Puri Sport Club (Lapangan Tenis) Tennis (2),"Jl. Taman Palem Raya, Meruya Selatan, Kembangan, Jakarta Barat Kav. 7",Jakarta,-6.1832812790431415,106.74109116755848,No,180000,augment,2025-10-22,"https://source.unsplash.com/1600x900/?tennis,court"
58,58,Villa Duta Sport Center Arena,"Perumahan Villa Duta, Jl. Rena Wijaya No.9, Baranangsiang, Kota Bogor Blok A",Bogor,-6.586599317747377,106.81315136095812,Yes,120000,augment,2025-10-22,"https://source.unsplash.com/1600x900/?tennis,court"
59,59,Lapangan Tennis TC7 Timur Court (2),"Jl. Masjid No.12, Jatikramat, Jatiasih, Kota Bekasi Blok C Blok A",Bekasi,-6.305477694197001,106.94903061009389,No,115000,augment,2025-10-22,"https://source.unsplash.com/1600x900/?tennis,court"
60,60,Lapangan Tennis Griya Depok Asri (GDA) Utara,"Griya Depok Asri Blok A1, Mekarjaya, Sukmajaya, Depok Blok C",Depok,-6.388640078726144,106.83815761518072,Yes,120000,augment,2025-10-22,"https://source.unsplash.com/1600x900/?tennis,court"
61,61,Villa Duta Sport Center #1 Tennis (2),"Perumahan Villa Duta, Jl. Rena Wijaya No.9, Baranangsiang, Kota Bogor Blok B RT 6/RW 11",Bogor,-6.596642597578369,106.80184855540804,Yes,145000,augment,2025-10-22,"https://source.unsplash.com/1600x900/?tennis,court"
62,62,Lapangan Tennis TC7 2 Club,"Jl. Masjid No.12, Jatikramat, Jatiasih, Kota Bekasi Kav. 7 Blok A",Bekasi,-6.297102787201446,106.98413749653233,Yes,85000,augment,2025-10-22,"https://source.unsplash.com/1600x900/?tennis,court"
63,63,Tennis Court Pondok Cabe Golf Utara #3,"Kompleks Pondok Cabe Golf, Pondok Cabe Udik, Pamulang, Tangerang Selatan Blok C Blok C",Tangerang,-6.343677527523608,106.7472535962132,Yes,170000,augment,2025-10-22,"https://source.unsplash.com/1600x900/?tennis,court"
64,64,Tennis Raflesia Taman Yasmin Tennis,"Taman Yasmin, Kota Bogor Blok A",Bogor,-6.554674281618563,106.76592358761386,No,95000,augment,2025-10-22,"https://source.unsplash.com/1600x900/?tennis,court"
65,65,Lapangan Tennis TC7 Timur Tennis (2),"Jl. Masjid No.12, Jatikramat, Jatiasih, Kota Bekasi Kav. 7 Kav. 9",Bekasi,-6.278215077883385,106.97749907885596,No,80000,augment,2025-10-22,"https://source.unsplash.com/1600x900/?tennis,court"
66,66,Tennis Court Pondok Cabe Golf 2,"Kompleks Pondok Cabe Golf, Pondok Cabe Udik, Pamulang, Tangerang Selatan Blok A",Tangerang,-6.337027304648895,106.73774981328212,Yes,185000,augment,2025-10-22,"https://source.unsplash.com/1600x900/?tennis,court"
67,67,Tennis Raflesia Taman Yasmin Selatan,"Taman Yasmin, Kota Bogor RT 9/RW 6",Bogor,-6.570217477412508,106.77869710307051,No,95000,augment,2025-10-22,"https://source.unsplash.com/1600x900/?tennis,court"
68,68,Anwa Puri Sport Club (Lapangan Tenis) Sports,"Jl. Taman Palem Raya, Meruya Selatan, Kembangan, Jakarta Barat Blok A",Jakarta,-6.217404816090991,106.73967134432532,Yes,125000,augment,2025-10-22,"https://source.unsplash.com/1600x900/?tennis,court"
69,69,Lapangan Tennis TC7 Timur 2,"Jl. Masjid No.12, Jatikramat, Jatiasih, Kota Bekasi Kav. 7 Blok C",Bekasi,-6.294695030299218,106.97894492207428,No,85000,augment,2025-10-22,"https://source.unsplash.com/1600x900/?tennis,court"
70,70,Tennis Raflesia Taman Yasmin Court,"Taman Yasmin, Kota Bogor No. 112",Bogor,-6.566473578393047,106.78373410843216,No,85000,augment,2025-10-22,"https://source.unsplash.com/1600x900/?tennis,court"
71,71,Lapangan Tennis TC7 #4 Tennis,"Jl. Masjid No.12, Jatikramat, Jatiasih, Kota Bekasi Blok B No. 48",Bekasi,-6.263476698676979,106.94260613023252,No,80000,augment,2025-10-22,"https://source.unsplash.com/1600x900/?tennis,court"
72,72,Lapangan Tennis TC7 Timur Court (3),"Jl. Masjid No.12, Jatikramat, Jatiasih, Kota Bekasi Blok C RT 9/RW 12",Bekasi,-6.311566139705926,106.95762212606029,No,100000,augment,2025-10-22,"https://source.unsplash.com/1600x900/?tennis,court"
73,73,Villa Duta Sport Center Court (2),"Perumahan Villa Duta, Jl. Rena Wijaya No.9, Baranangsiang, Kota Bogor Blok A",Bogor,-6.588087776052914,106.83006024628376,Yes,105000,augment,2025-10-22,"https://source.unsplash.com/1600x900/?tennis,court"
74,74,Lapangan Tennis TC7 2 Court,"Jl. Masjid No.12, Jatikramat, Jatiasih, Kota Bekasi Kav. 7 Kav. 9",Bekasi,-6.27613410654482,106.96323635119572,No,100000,augment,2025-10-22,"https://source.unsplash.com/1600x900/?tennis,court"
75,75,SOR UI Rawamangun,"Jl. Pemuda, Rawamangun, Jakarta Timur",Jakarta,-6.1927,106.884,Yes,160000,import,2025-10-22,"https://source.unsplash.com/1600x900/?tennis,court"
76,76,Lapangan Tennis TC7 2 (3),"Jl. Masjid No.12, Jatikramat, Jatiasih, Kota Bekasi Kav. 9",Bekasi,-6.290192673636819,106.97440690634362,No,85000,augment,2025-10-22,"https://source.unsplash.com/1600x900/?tennis,court"
77,77,Anwa Puri Sport Club (Lapangan Tenis) Tennis,"Jl. Taman Palem Raya, Meruya Selatan, Kembangan, Jakarta Barat Blok C",Jakarta,-6.1998725645787145,106.73983654758588,No,130000,augment,2025-10-22,"https://source.unsplash.com/1600x900/?tennis,court"
78,78,Villa Duta Sport Center Club,"Perumahan Villa Duta, Jl. Rena Wijaya No.9, Baranangsiang, Kota Bogor Blok C",Bogor,-6.583405141810228,106.83229778677932,Yes,115000,augment,2025-10-22,"https://source.unsplash.com/1600x900/?tennis,court"
79,79,Tennis Court Pondok Cabe Golf Timur Court,"Kompleks Pondok Cabe Golf, Pondok Cabe Udik, Pamulang, Tangerang Selatan Blok C Kav. 9",Tangerang,-6.344451852996114,106.734272651732,Yes,175000,augment,2025-10-22,"https://source.unsplash.com/1600x900/?tennis,court"
80,80,Playcourt Tennis Depok #15,"Jl. Margonda Raya, Kota Depok Blok A",Depok,-6.408325515945824,106.83548479508184,Yes,125000,augment,2025-10-22,"https://source.unsplash.com/1600x900/?tennis,court"
81,81,Tennis Court Pondok Cabe Golf Utara Sports,"Kompleks Pondok Cabe Golf, Pondok Cabe Udik, Pamulang, Tangerang Selatan Blok C RT 3/RW 1",Tangerang,-6.329684920467462,106.73740899492738,Yes,145000,augment,2025-10-22,"https://source.unsplash.com/1600x900/?tennis,court"
82,82,Playcourt Tennis Depok #12,"Jl. Margonda Raya, Kota Depok Blok B",Depok,-6.4042453943492434,106.83347202928115,No,135000,augment,2025-10-22,"https://source.unsplash.com/1600x900/?tennis,court"
83,83,Lapangan Tennis Griya Depok Asri (GDA) Court,"Griya Depok Asri Blok A1, Mekarjaya, Sukmajaya, Depok Kav. 9",Depok,-6.413220682877904,106.84416200991234,Yes,130000,augment,2025-10-22,"https://source.unsplash.com/1600x900/?tennis,court"
84,84,Lapangan Tennis Griya Depok Asri (GDA) Utara 2,"Griya Depok Asri Blok A1, Mekarjaya, Sukmajaya, Depok Kav. 3 Blok B",Depok,-6.39911002896794,106.83402703475468,Yes,125000,augment,2025-10-22,"https://source.unsplash.com/1600x900/?tennis,court"
85,85,Cilandak Sports Center 2,"Jl. Karang Asri II Blok C2 No.31, Cilandak, Jakarta Selatan Kav. 9",Jakarta,-6.31162061861358,106.78855852401904,Yes,155000,augment,2025-10-22,https://indonesiaexpat.id/wp-content/uploads/2023/07/Cilandak-Sports-Center.jpg
86,86,Lapangan Tennis Griya Depok Asri (GDA) Tennis,"Griya Depok Asri Blok A1, Mekarjaya, Sukmajaya, Depok Blok B",Depok,-6.410637549321185,106.83287681831108,Yes,125000,augment,2025-10-22,"https://source.unsplash.com/1600x900/?tennis,court"
87,87,Cilandak Sports Center Club,"Jl. Karang Asri II Blok C2 No.31, Cilandak, Jakarta Selatan Blok C",Jakarta,-6.307190135228058,106.7691637441354,Yes,140000,augment,2025-10-22,https://indonesiaexpat.id/wp-content/uploads/2023/07/Cilandak-Sports-Center.jpg
88,88,Anwa Puri Sport Club (Lapangan Tenis) Court,"Jl. Taman Palem Raya, Meruya Selatan, Kembangan, Jakarta Barat Blok B",Jakarta,-6.206872443323497,106.719319956991,No,125000,augment,2025-10-22,"https://source.unsplash.com/1600x900/?tennis,court"
89,89,Tennis Court Pondok Cabe Golf Utara Court,"Kompleks Pondok Cabe Golf, Pondok Cabe Udik, Pamulang, Tangerang Selatan Blok C Blok A",Tangerang,-6.345364889954589,106.72425079142027,Yes,200000,augment,2025-10-22,"https://source.unsplash.com/1600x900/?tennis,court"
90,90,SOR UI Rawamangun Tennis,"Jl. Pemuda, Rawamangun, Jakarta Timur Blok B",Jakarta,-6.174802011971701,106.88922503662928,Yes,190000,augment,2025-10-22,"https://source.unsplash.com/1600x900/?tennis,court"
91,91,Lapangan Tennis Griya Depok Asri (GDA) 2,"Griya Depok Asri Blok A1, Mekarjaya, Sukmajaya, Depok Blok C",Depok,-6.411783956502532,106.84860910720865,Yes,120000,augment,2025-10-22,"https://source.unsplash.com/1600x900/?tennis,court"
92,92,Playcourt Tennis Depok #2 Club,"Jl. Margonda Raya, Kota Depok Kav. 3 Blok C",Depok,-6.413023251097014,106.82804856651045,Yes,185000,augment,2025-10-22,"https://source.unsplash.com/1600x900/?tennis,court"
93,93,Lapangan Tennis Griya Depok Asri (GDA) Utara,"Griya Depok Asri Blok A1, Mekarjaya, Sukmajaya, Depok Kav. 3",Depok,-6.403437125864179,106.84513071516666,Yes,135000,augment,2025-10-22,"https://source.unsplash.com/1600x900/?tennis,court"
94,94,Tennis Court Pondok Cabe Golf Utara Court (2),"Kompleks Pondok Cabe Golf, Pondok Cabe Udik, Pamulang, Tangerang Selatan Blok C Blok B",Tangerang,-6.349960641453829,106.74342718524844,Yes,175000,augment,2025-10-22,"https://source.unsplash.com/1600x900/?tennis,court"
95,95,Playcourt Tennis Depok #2,"Jl. Margonda Raya, Kota Depok Kav. 3",Depok,-6.399324568690182,106.8302155821811,Yes,155000,augment,2025-10-22,"https://source.unsplash.com/1600x900/?tennis,court"
96,96,Lapangan Tenis GBK Arena,"Kompleks Gelora Bung Karno, Jl. Pintu Satu Senayan, Jakarta Pusat RT 6/RW 10",Jakarta,-6.2157041918287,106.80034821325204,Yes,215000,augment,2025-10-22,"https://source.unsplash.com/1600x900/?tennis,court"
97,97,Villa Duta Sport Center #1 Arena,"Perumahan Villa Duta, Jl. Rena Wijaya No.9, Baranangsiang, Kota Bogor Blok B Kav. 9",Bogor,-6.6025558195794,106.82213330763638,Yes,140000,augment,2025-10-22,"https://source.unsplash.com/1600x900/?tennis,court"
98,98,Tennis Court Pondok Cabe Golf Utara #2,"Kompleks Pondok Cabe Golf, Pondok Cabe Udik, Pamulang, Tangerang Selatan Blok C Kav. 3",Tangerang,-6.347719000052218,106.74718951294471,Yes,170000,augment,2025-10-22,"https://source.unsplash.com/1600x900/?tennis,court"
99,99,Playcourt Tennis Depok Tennis,"Jl. Margonda Raya, Kota Depok RT 4/RW 5",Depok,-6.389996456005526,106.81711599536852,Yes,120000,augment,2025-10-22,"https://source.unsplash.com/1600x900/?tennis,court"
100,100,Anwa Puri Sport Club (Lapangan Tenis) Sports (2),"Jl. Taman Palem Raya, Meruya Selatan, Kembangan, Jakarta Barat Blok C",Jakarta,-6.217412495330073,106.73070543352972,Yes,150000,augment,2025-10-22,"https://source.unsplash.com/1600x900/?tennis,court"
101,101,Tennis Court Pondok Cabe Golf Arena,"Kompleks Pondok Cabe Golf, Pondok Cabe Udik, Pamulang, Tangerang Selatan Kav. 3",Tangerang,-6.328971693727489,106.73863425913716,Yes,155000,augment,2025-10-22,"https://source.unsplash.com/1600x900/?tennis,court"
102,102,Villa Duta Sport Center Court,"Perumahan Villa Duta, Jl. Rena Wijaya No.9, Baranangsiang, Kota Bogor Blok A",Bogor,-6.583415856531877,106.83060456546528,Yes,140000,augment,2025-10-22,"https://source.unsplash.com/1600x900/?tennis,court"
103,103,Villa Duta Sport Center,"Perumahan Villa Duta, Jl. Rena Wijaya No.9, Baranangsiang, Kota Bogor",Bogor,-6.603,106.819,Yes,120000,import,2025-10-22,"https://source.unsplash.com/1600x900/?tennis,court"
104,104,Lapangan Tennis TC7 #4,"Jl. Masjid No.12, Jatikramat, Jatiasih, Kota Bekasi Blok B",Bekasi,-6.27989253866655,106.9603494471366,No,95000,augment,2025-10-22,"https://source.unsplash.com/1600x900/?tennis,court"
105,105,Lapangan Tennis Griya Depok Asri (GDA) Utara Sports,"Griya Depok Asri Blok A1, Mekarjaya, Sukmajaya, Depok Blok C RT 9/RW 9",Depok,-6.38062338086428,106.8217361034946,Yes,140000,augment,2025-10-22,"https://source.unsplash.com/1600x900/?tennis,court"
106,106,Tennis Raflesia Taman Yasmin #3,"Taman Yasmin, Kota Bogor Blok A",Bogor,-6.565507140205833,106.78029820314543,No,90000,augment,2025-10-22,"https://source.unsplash.com/1600x900/?tennis,court"
107,107,Lapangan Tennis TC7 #4 Court,"Jl. Masjid No.12, Jatikramat, Jatiasih, Kota Bekasi Blok B No. 161",Bekasi,-6.298498363237191,106.94285264486716,No,110000,augment,2025-10-22,"https://source.unsplash.com/1600x900/?tennis,court"
108,108,Tennis Raflesia Taman Yasmin #3 Sports,"Taman Yasmin, Kota Bogor Blok A RT 1/RW 2",Bogor,-6.572482594711357,106.7992326132125,No,90000,augment,2025-10-22,"https://source.unsplash.com/1600x900/?tennis,court"
